"No.","Time","Source","Destination","Protocol","Length","Info"
"23","44.048563172","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"24","44.299055971","8c:90:2d:fd:a5:fb","Broadcast","ARP","42","Who has 172.16.40.254? Tell 172.16.40.1"
"25","44.299302290","ec:75:0c:c2:51:49","8c:90:2d:fd:a5:fb","ARP","60","172.16.40.254 is at ec:75:0c:c2:51:49"
"26","44.299315017","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=1/256, ttl=64 (reply in 27)"
"27","44.299471213","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=1/256, ttl=64 (request in 26)"
"28","45.322569520","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=2/512, ttl=64 (reply in 29)"
"29","45.322821625","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=2/512, ttl=64 (request in 28)"
"30","46.043454915","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"31","46.346549875","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=3/768, ttl=64 (reply in 32)"
"32","46.346780551","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=3/768, ttl=64 (request in 31)"
"33","46.986523598","0.0.0.0","255.255.255.255","MNDP","161","5678  >  5678 Len=119"
"34","46.986524095","Routerbo_0c:d9:6b","CDP/VTP/DTP/PAgP/UDLD","CDP","96","Device ID: MikroTik  Port ID: bridge40/ether2  "
"35","46.986564385","Routerbo_0c:d9:6b","LLDP_Multicast","LLDP","112","MA/4c:5e:0c:0c:d9:6b IN/bridge40/ether2 120 SysN=MikroTik SysD=MikroTik RouterOS 6.45.7 (stable) CRS125-24G-1S "
"36","47.370548104","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=4/1024, ttl=64 (reply in 37)"
"37","47.370802843","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=4/1024, ttl=64 (request in 36)"
"38","48.046012251","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"39","48.394551784","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=5/1280, ttl=64 (reply in 40)"
"40","48.394790561","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=5/1280, ttl=64 (request in 39)"
"41","49.418554262","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=6/1536, ttl=64 (reply in 42)"
"42","49.418807302","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=6/1536, ttl=64 (request in 41)"
"43","49.542172293","ec:75:0c:c2:51:49","8c:90:2d:fd:a5:fb","ARP","60","Who has 172.16.40.1? Tell 172.16.40.254"
"44","49.542194599","8c:90:2d:fd:a5:fb","ec:75:0c:c2:51:49","ARP","42","172.16.40.1 is at 8c:90:2d:fd:a5:fb"
"45","50.048570567","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"46","50.442558879","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=7/1792, ttl=64 (reply in 47)"
"47","50.442786701","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=7/1792, ttl=64 (request in 46)"
"48","51.466551594","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=8/2048, ttl=64 (reply in 49)"
"49","51.466806498","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=8/2048, ttl=64 (request in 48)"
"50","52.051157292","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"51","52.490583471","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=9/2304, ttl=64 (reply in 52)"
"52","52.490812080","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=9/2304, ttl=64 (request in 51)"
"53","53.514552042","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=10/2560, ttl=64 (reply in 54)"
"54","53.514807714","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=10/2560, ttl=64 (request in 53)"
"55","54.043601319","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"56","54.538559190","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=11/2816, ttl=64 (reply in 57)"
"57","54.538812872","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=11/2816, ttl=64 (request in 56)"
"58","55.562548268","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=12/3072, ttl=64 (reply in 59)"
"59","55.562798884","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=12/3072, ttl=64 (request in 58)"
"60","56.055353608","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"61","56.586554924","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=13/3328, ttl=64 (reply in 62)"
"62","56.586826904","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=13/3328, ttl=64 (request in 61)"
"63","57.610550972","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=14/3584, ttl=64 (reply in 64)"
"64","57.610803515","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=14/3584, ttl=64 (request in 63)"
"65","58.057904438","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"66","58.634550976","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=15/3840, ttl=64 (reply in 67)"
"67","58.634810017","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=15/3840, ttl=64 (request in 66)"
"68","59.658542262","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=16/4096, ttl=64 (reply in 69)"
"69","59.658801922","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=16/4096, ttl=64 (request in 68)"
"70","60.060470698","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"71","60.682549977","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=17/4352, ttl=64 (reply in 72)"
"72","60.682806101","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=17/4352, ttl=64 (request in 71)"
"73","61.706540230","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=18/4608, ttl=64 (reply in 74)"
